Type,Class,Gene,Location,Mean,SD
Virulence,Immune modulation,galF,Rabida,1.48E-05,2.75E-05
Virulence,Immune modulation,galU,Cabo Douglas,2.06E-05,3.08E-05
Virulence,Immune modulation,galU,Punta Espinoza,3.51E-05,3.14E-05
Virulence,Immune modulation,galU,Rabida,8.63E-06,2.44E-05
Virulence,Immune modulation,GBS_RS06540,Cabo Douglas,0,0
Virulence,Immune modulation,GBS_RS06540,Punta Espinoza,1.64E-05,3.00E-05
Virulence,Immune modulation,GBS_RS06540,Rabida,0,0
Virulence,Immune modulation,GBS_RS06580,Cabo Douglas,2.90E-05,3.72E-05
Virulence,Immune modulation,GBS_RS06580,Punta Espinoza,1.81E-05,2.75E-05
Virulence,Immune modulation,GBS_RS06580,Rabida,3.08E-05,3.32E-05
Virulence,Immune modulation,GBS_RS06585,Cabo Douglas,4.87E-05,3.26E-05
Virulence,Immune modulation,GBS_RS06585,Punta Espinoza,4.74E-05,2.36E-05
Virulence,Immune modulation,GBS_RS06585,Rabida,6.37E-05,7.26E-06
Virulence,Immune modulation,GBS_RS06590,Cabo Douglas,3.97E-05,3.71E-05
Virulence,Immune modulation,GBS_RS06590,Punta Espinoza,2.99E-05,3.14E-05
Virulence,Immune modulation,GBS_RS06590,Rabida,2.41E-05,3.35E-05
Virulence,Immune modulation,glf,Cabo Douglas,4.50E-05,3.41E-05
Virulence,Immune modulation,glf,Punta Espinoza,3.50E-05,3.18E-05
Virulence,Immune modulation,glf,Rabida,3.98E-05,3.37E-05
Virulence,Immune modulation,gmd,Cabo Douglas,6.58E-05,1.44E-05
Virulence,Immune modulation,gmd,Punta Espinoza,5.87E-05,9.90E-06
Virulence,Immune modulation,gmd,Rabida,6.37E-05,7.26E-06
Virulence,Immune modulation,gmhA/lpcA,Cabo Douglas,1.04E-05,2.58E-05
Virulence,Immune modulation,gmhA/lpcA,Punta Espinoza,1.96E-05,2.96E-05
Virulence,Immune modulation,gmhA/lpcA,Rabida,0,0
Virulence,Immune modulation,gmhA2,Cabo Douglas,0,0
Virulence,Immune modulation,gmhA2,Punta Espinoza,1.47E-05,2.69E-05
Virulence,Immune modulation,gmhA2,Rabida,0,0
Virulence,Immune modulation,gndA,Cabo Douglas,2.59E-05,3.34E-05
Virulence,Immune modulation,gndA,Punta Espinoza,4.39E-05,2.82E-05
Virulence,Immune modulation,gndA,Rabida,1.75E-05,3.25E-05
Virulence,Immune modulation,gtrA,Cabo Douglas,0,0
Virulence,Immune modulation,gtrA,Punta Espinoza,0,0
Virulence,Immune modulation,gtrA,Rabida,7.86E-06,2.22E-05
Virulence,Immune modulation,gtrB,Cabo Douglas,1.78E-05,3.25E-05
Virulence,Immune modulation,gtrB,Punta Espinoza,1.58E-05,2.90E-05
Virulence,Immune modulation,gtrB,Rabida,7.86E-06,2.22E-05
Virulence,Immune modulation,hasB,Cabo Douglas,2.75E-05,3.40E-05
Virulence,Immune modulation,hasB,Punta Espinoza,0,0
Virulence,Immune modulation,hasB,Rabida,1.48E-05,2.75E-05
Virulence,Immune modulation,hasC,Cabo Douglas,6.58E-05,1.44E-05
Virulence,Immune modulation,hasC,Punta Espinoza,5.87E-05,9.90E-06
Virulence,Immune modulation,hasC,Rabida,6.37E-05,7.26E-06
Virulence,Immune modulation,iga,Cabo Douglas,0,0
Virulence,Immune modulation,iga,Punta Espinoza,0,0
Virulence,Immune modulation,iga,Rabida,9.60E-06,2.72E-05
Virulence,Immune modulation,kdsA,Cabo Douglas,2.89E-05,3.77E-05
Virulence,Immune modulation,kdsA,Punta Espinoza,4.71E-05,2.35E-05
Virulence,Immune modulation,kdsA,Rabida,2.23E-05,3.09E-05
Virulence,Immune modulation,kdsB,Cabo Douglas,7.89E-06,2.73E-05
Virulence,Immune modulation,kdsB,Punta Espinoza,0,0
Virulence,Immune modulation,kdsB,Rabida,0,0
Virulence,Immune modulation,kdtB,Cabo Douglas,0,0
Virulence,Immune modulation,kdtB,Punta Espinoza,1.45E-05,2.68E-05
Virulence,Immune modulation,kdtB,Rabida,0,0
Virulence,Immune modulation,kfiC,Cabo Douglas,0,0
Virulence,Immune modulation,kfiC,Punta Espinoza,0,0
Virulence,Immune modulation,kfiC,Rabida,7.65E-06,2.16E-05
Virulence,Immune modulation,kfiD,Cabo Douglas,8.97E-06,2.16E-05
Virulence,Immune modulation,kfiD,Punta Espinoza,0,0
Virulence,Immune modulation,kfiD,Rabida,0,0
Virulence,Immune modulation,KP1_RS17220,Cabo Douglas,1.75E-05,3.20E-05
Virulence,Immune modulation,KP1_RS17220,Punta Espinoza,3.55E-06,1.23E-05
Virulence,Immune modulation,KP1_RS17220,Rabida,0,0
Virulence,Immune modulation,KP1_RS17225,Cabo Douglas,1.06E-05,2.47E-05
Virulence,Immune modulation,KP1_RS17225,Punta Espinoza,5.06E-06,1.75E-05
Virulence,Immune modulation,KP1_RS17225,Rabida,8.51E-06,2.41E-05
Virulence,Immune modulation,KP1_RS17230,Cabo Douglas,5.48E-06,1.90E-05
Virulence,Immune modulation,KP1_RS17230,Punta Espinoza,5.06E-06,1.75E-05
Virulence,Immune modulation,KP1_RS17230,Rabida,0,0
Virulence,Immune modulation,KP1_RS17240,Cabo Douglas,1.75E-05,3.20E-05
Virulence,Immune modulation,KP1_RS17240,Punta Espinoza,4.11E-06,1.42E-05
Virulence,Immune modulation,KP1_RS17240,Rabida,2.50E-05,3.50E-05
Virulence,Immune modulation,KP1_RS17280,Cabo Douglas,3.46E-05,3.82E-05
Virulence,Immune modulation,KP1_RS17280,Punta Espinoza,2.24E-05,2.84E-05
Virulence,Immune modulation,KP1_RS17280,Rabida,7.56E-06,2.14E-05
Virulence,Immune modulation,KP1_RS17295,Cabo Douglas,0,0
Virulence,Immune modulation,KP1_RS17295,Punta Espinoza,4.11E-06,1.42E-05
Virulence,Immune modulation,KP1_RS17295,Rabida,0,0
Virulence,Immune modulation,KP1_RS17305,Cabo Douglas,1.09E-05,2.55E-05
Virulence,Immune modulation,KP1_RS17305,Punta Espinoza,5.52E-06,1.91E-05
Virulence,Immune modulation,KP1_RS17305,Rabida,0,0
Virulence,Immune modulation,KP1_RS17340,Cabo Douglas,1.78E-05,3.25E-05
Virulence,Immune modulation,KP1_RS17340,Punta Espinoza,7.81E-06,1.83E-05
Virulence,Immune modulation,KP1_RS17340,Rabida,1.64E-05,3.03E-05
Virulence,Immune modulation,KP1_RS17345,Cabo Douglas,2.97E-05,3.81E-05
Virulence,Immune modulation,KP1_RS17345,Punta Espinoza,2.28E-05,2.87E-05
Virulence,Immune modulation,KP1_RS17345,Rabida,0,0
Virulence,Immune modulation,KP1_RS17355,Cabo Douglas,2.18E-05,3.29E-05
Virulence,Immune modulation,KP1_RS17355,Punta Espinoza,1.52E-05,2.75E-05
Virulence,Immune modulation,KP1_RS17355,Rabida,8.51E-06,2.41E-05
Virulence,Immune modulation,legI,Cabo Douglas,1.53E-05,2.88E-05
Virulence,Immune modulation,legI,Punta Espinoza,3.55E-06,1.23E-05
Virulence,Immune modulation,legI,Rabida,0,0
Virulence,Immune modulation,LPG_RS03710,Cabo Douglas,5.94E-06,2.06E-05
Virulence,Immune modulation,LPG_RS03710,Punta Espinoza,1.35E-05,2.57E-05
Virulence,Immune modulation,LPG_RS03710,Rabida,8.51E-06,2.41E-05
Virulence,Immune modulation,LPG_RS03830,Cabo Douglas,1.34E-05,3.18E-05
Virulence,Immune modulation,LPG_RS03830,Punta Espinoza,8.83E-06,2.11E-05
Virulence,Immune modulation,LPG_RS03830,Rabida,8.51E-06,2.41E-05
Virulence,Immune modulation,lpsB,Cabo Douglas,3.49E-06,1.21E-05
Virulence,Immune modulation,lpsB,Punta Espinoza,0,0
Virulence,Immune modulation,lpsB,Rabida,0,0
Virulence,Immune modulation,lpxA,Cabo Douglas,1.20E-05,2.84E-05
Virulence,Immune modulation,lpxA,Punta Espinoza,4.53E-06,1.57E-05
Virulence,Immune modulation,lpxA,Rabida,0,0
Virulence,Immune modulation,lpxB,Cabo Douglas,1.06E-05,2.47E-05
Virulence,Immune modulation,lpxB,Punta Espinoza,1.05E-05,2.46E-05
Virulence,Immune modulation,lpxB,Rabida,8.51E-06,2.41E-05
Virulence,Immune modulation,lpxC,Cabo Douglas,2.39E-05,3.62E-05
Virulence,Immune modulation,lpxC,Punta Espinoza,1.39E-05,2.63E-05
Virulence,Immune modulation,lpxC,Rabida,0,0
Virulence,Immune modulation,lpxD,Cabo Douglas,0,0
Virulence,Immune modulation,lpxD,Punta Espinoza,1.97E-05,2.97E-05
Virulence,Immune modulation,lpxD,Rabida,1.65E-05,3.11E-05
Virulence,Immune modulation,lpxK,Cabo Douglas,0,0
Virulence,Immune modulation,lpxK,Punta Espinoza,4.53E-06,1.57E-05
Virulence,Immune modulation,lpxK,Rabida,0,0
Virulence,Immune modulation,lpxM,Cabo Douglas,5.48E-06,1.90E-05
Virulence,Immune modulation,lpxM,Punta Espinoza,0,0
Virulence,Immune modulation,lpxM,Rabida,0,0
Virulence,Immune modulation,manC,Cabo Douglas,0,0
Virulence,Immune modulation,manC,Punta Espinoza,8.64E-06,2.02E-05
Virulence,Immune modulation,manC,Rabida,8.51E-06,2.41E-05
Virulence,Immune modulation,manCcore,Cabo Douglas,0,0
Virulence,Immune modulation,manCcore,Punta Espinoza,6.28E-06,2.17E-05
Virulence,Immune modulation,manCcore,Rabida,0,0
Virulence,Immune modulation,msbA,Cabo Douglas,1.17E-05,2.74E-05
Virulence,Immune modulation,msbA,Punta Espinoza,0,0
Virulence,Immune modulation,msbA,Rabida,0,0
Virulence,Immune modulation,neuA-LOS,Cabo Douglas,5.49E-06,1.90E-05
Virulence,Immune modulation,neuA-LOS,Punta Espinoza,0,0
Virulence,Immune modulation,neuA-LOS,Rabida,0,0
Virulence,Immune modulation,neuA-LPS,Cabo Douglas,5.98E-06,2.07E-05
Virulence,Immune modulation,neuA-LPS,Punta Espinoza,0,0
Virulence,Immune modulation,neuA-LPS,Rabida,0,0
Virulence,Immune modulation,neuB,Cabo Douglas,5.94E-06,2.06E-05
Virulence,Immune modulation,neuB,Punta Espinoza,0,0
Virulence,Immune modulation,neuB,Rabida,7.56E-06,2.14E-05
Virulence,Immune modulation,neuC,Cabo Douglas,0,0
Virulence,Immune modulation,neuC,Punta Espinoza,5.52E-06,1.91E-05
Virulence,Immune modulation,neuC,Rabida,0,0
Virulence,Immune modulation,ompA-LOS,Cabo Douglas,0,0
Virulence,Immune modulation,ompA-LOS,Punta Espinoza,6.28E-06,2.17E-05
Virulence,Immune modulation,ompA-LOS,Rabida,0,0
Virulence,Immune modulation,ppsA,Cabo Douglas,5.73E-06,1.99E-05
Virulence,Immune modulation,ppsA,Punta Espinoza,3.70E-06,1.28E-05
Virulence,Immune modulation,ppsA,Rabida,7.65E-06,2.16E-05
Virulence,Immune modulation,ppsE,Cabo Douglas,0,0
Virulence,Immune modulation,ppsE,Punta Espinoza,4.11E-06,1.42E-05
Virulence,Immune modulation,ppsE,Rabida,0,0
Virulence,Immune modulation,pseF,Cabo Douglas,7.89E-06,2.73E-05
Virulence,Immune modulation,pseF,Punta Espinoza,1.08E-05,2.53E-05
Virulence,Immune modulation,pseF,Rabida,7.65E-06,2.16E-05
Virulence,Immune modulation,rfaD,Cabo Douglas,1.55E-05,2.94E-05
Virulence,Immune modulation,rfaD,Punta Espinoza,2.49E-05,3.11E-05
Virulence,Immune modulation,rfaD,Rabida,6.92E-06,1.96E-05
Virulence,Immune modulation,rfaE,Cabo Douglas,0,0
Virulence,Immune modulation,rfaE,Punta Espinoza,1.11E-05,2.60E-05
Virulence,Immune modulation,rfaE,Rabida,0,0
Virulence,Immune modulation,rfbA,Cabo Douglas,6.58E-05,1.44E-05
Virulence,Immune modulation,rfbA,Punta Espinoza,2.85E-05,3.04E-05
Virulence,Immune modulation,rfbA,Rabida,4.66E-05,2.92E-05
Virulence,Immune modulation,rfbB,Cabo Douglas,2.34E-05,3.49E-05
Virulence,Immune modulation,rfbB,Punta Espinoza,8.65E-06,2.05E-05
Virulence,Immune modulation,rfbB,Rabida,8.51E-06,2.41E-05
Virulence,Immune modulation,rfbD,Cabo Douglas,2.38E-05,3.71E-05
Virulence,Immune modulation,rfbD,Punta Espinoza,3.35E-05,3.09E-05
Virulence,Immune modulation,rfbD,Rabida,0,0
Virulence,Immune modulation,rfbF,Cabo Douglas,1.14E-05,2.67E-05
Virulence,Immune modulation,rfbF,Punta Espinoza,1.06E-05,2.48E-05
Virulence,Immune modulation,rfbF,Rabida,7.65E-06,2.16E-05
Virulence,Immune modulation,rfbG,Cabo Douglas,0,0
Virulence,Immune modulation,rfbG,Punta Espinoza,0,0
Virulence,Immune modulation,rfbG,Rabida,8.51E-06,2.41E-05
Virulence,Immune modulation,rfbK1,Cabo Douglas,3.10E-05,3.38E-05
Virulence,Immune modulation,rfbK1,Punta Espinoza,3.47E-05,3.18E-05
Virulence,Immune modulation,rfbK1,Rabida,0,0
Virulence,Immune modulation,rpe,Cabo Douglas,0,0
Virulence,Immune modulation,rpe,Punta Espinoza,1.41E-05,2.64E-05
Virulence,Immune modulation,rpe,Rabida,0,0
Virulence,Immune modulation,siaC/synC,Cabo Douglas,4.29E-06,1.49E-05
Virulence,Immune modulation,siaC/synC,Punta Espinoza,2.34E-05,3.01E-05
Virulence,Immune modulation,siaC/synC,Rabida,6.98E-06,1.97E-05
Virulence,Immune modulation,tviB,Cabo Douglas,5.44E-06,1.88E-05
Virulence,Immune modulation,tviB,Punta Espinoza,4.95E-06,1.72E-05
Virulence,Immune modulation,tviB,Rabida,0,0
Virulence,Immune modulation,tviC,Cabo Douglas,5.49E-06,1.90E-05
Virulence,Immune modulation,tviC,Punta Espinoza,0,0
Virulence,Immune modulation,tviC,Rabida,8.51E-06,2.41E-05
Virulence,Immune modulation,ugd,Cabo Douglas,6.58E-05,1.44E-05
Virulence,Immune modulation,ugd,Punta Espinoza,5.87E-05,9.90E-06
Virulence,Immune modulation,ugd,Rabida,6.37E-05,7.26E-06
Virulence,Immune modulation,waaC,Cabo Douglas,1.06E-05,2.47E-05
Virulence,Immune modulation,waaC,Punta Espinoza,8.65E-06,2.05E-05
Virulence,Immune modulation,waaC,Rabida,0,0
Virulence,Immune modulation,waaG,Cabo Douglas,5.48E-06,1.90E-05
Virulence,Immune modulation,waaG,Punta Espinoza,0,0
Virulence,Immune modulation,waaG,Rabida,0,0
Virulence,Immune modulation,wbaP/rfbP,Cabo Douglas,1.24E-05,2.92E-05
Virulence,Immune modulation,wbaP/rfbP,Punta Espinoza,8.23E-06,1.93E-05
Virulence,Immune modulation,wbaP/rfbP,Rabida,0,0
Virulence,Immune modulation,wbpD,Cabo Douglas,5.49E-06,1.90E-05
Virulence,Immune modulation,wbpD,Punta Espinoza,1.43E-05,2.61E-05
Virulence,Immune modulation,wbpD,Rabida,9.60E-06,2.72E-05
Virulence,Immune modulation,wbpE,Cabo Douglas,5.48E-06,1.90E-05
Virulence,Immune modulation,wbpE,Punta Espinoza,0,0
Virulence,Immune modulation,wbpE,Rabida,0,0
Virulence,Immune modulation,wbpI,Cabo Douglas,0,0
Virulence,Immune modulation,wbpI,Punta Espinoza,5.56E-06,1.93E-05
Virulence,Immune modulation,wbpI,Rabida,8.63E-06,2.44E-05
Virulence,Immune modulation,wbpM,Cabo Douglas,1.49E-05,2.78E-05
Virulence,Immune modulation,wbpM,Punta Espinoza,9.27E-06,2.22E-05
Virulence,Immune modulation,wbpM,Rabida,1.39E-05,2.57E-05
Virulence,Immune modulation,wbtA,Cabo Douglas,5.49E-06,1.90E-05
Virulence,Immune modulation,wbtA,Punta Espinoza,9.82E-06,2.30E-05
Virulence,Immune modulation,wbtA,Rabida,7.65E-06,2.16E-05
Virulence,Immune modulation,wbtB,Cabo Douglas,1.48E-05,2.70E-05
Virulence,Immune modulation,wbtB,Punta Espinoza,1.97E-05,2.98E-05
Virulence,Immune modulation,wbtB,Rabida,6.98E-06,1.97E-05
Virulence,Immune modulation,wbtD,Cabo Douglas,5.98E-06,2.07E-05
Virulence,Immune modulation,wbtD,Punta Espinoza,0,0
Virulence,Immune modulation,wbtD,Rabida,0,0
Virulence,Immune modulation,wbtE,Cabo Douglas,6.07E-05,2.39E-05
Virulence,Immune modulation,wbtE,Punta Espinoza,5.87E-05,9.90E-06
Virulence,Immune modulation,wbtE,Rabida,6.37E-05,7.26E-06
Virulence,Immune modulation,wbtF,Cabo Douglas,3.84E-05,3.50E-05
Virulence,Immune modulation,wbtF,Punta Espinoza,5.87E-05,9.90E-06
Virulence,Immune modulation,wbtF,Rabida,4.75E-05,3.02E-05
Virulence,Immune modulation,wbtL,Cabo Douglas,6.58E-05,1.44E-05
Virulence,Immune modulation,wbtL,Punta Espinoza,5.87E-05,9.90E-06
Virulence,Immune modulation,wbtL,Rabida,6.37E-05,7.26E-06
Virulence,Immune modulation,wbtM,Cabo Douglas,0,0
Virulence,Immune modulation,wbtM,Punta Espinoza,5.56E-06,1.93E-05
Virulence,Immune modulation,wbtM,Rabida,1.62E-05,3.01E-05
Virulence,Immune modulation,wcaJ,Cabo Douglas,3.08E-05,3.90E-05
Virulence,Immune modulation,wcaJ,Punta Espinoza,1.38E-05,2.50E-05
Virulence,Immune modulation,wcaJ,Rabida,7.65E-06,2.16E-05
Virulence,Immune modulation,wcbK,Cabo Douglas,2.03E-05,3.72E-05
Virulence,Immune modulation,wcbK,Punta Espinoza,3.33E-05,3.06E-05
Virulence,Immune modulation,wcbK,Rabida,0,0
Virulence,Immune modulation,wcbL,Cabo Douglas,0,0
Virulence,Immune modulation,wcbL,Punta Espinoza,4.59E-06,1.59E-05
Virulence,Immune modulation,wcbL,Rabida,0,0
Virulence,Immune modulation,wcbM,Cabo Douglas,1.15E-05,2.68E-05
Virulence,Immune modulation,wcbM,Punta Espinoza,0,0
Virulence,Immune modulation,wcbM,Rabida,0,0
Virulence,Immune modulation,wecA,Cabo Douglas,5.98E-06,2.07E-05
Virulence,Immune modulation,wecA,Punta Espinoza,0,0
Virulence,Immune modulation,wecA,Rabida,0,0
Virulence,Immune modulation,YE_RS15425,Cabo Douglas,9.54E-06,2.26E-05
Virulence,Immune modulation,YE_RS15425,Punta Espinoza,4.11E-06,1.42E-05
Virulence,Immune modulation,YE_RS15425,Rabida,6.98E-06,1.97E-05
Virulence,Invasion,aslA,Cabo Douglas,1.15E-05,2.68E-05
Virulence,Invasion,aslA,Punta Espinoza,5.56E-06,1.93E-05
Virulence,Invasion,aslA,Rabida,6.92E-06,1.96E-05
Virulence,Invasion,ibeB,Cabo Douglas,5.48E-06,1.90E-05
Virulence,Invasion,ibeB,Punta Espinoza,2.39E-05,3.02E-05
Virulence,Invasion,ibeB,Rabida,7.56E-06,2.14E-05
Virulence,Invasion,ibeC,Cabo Douglas,2.06E-05,3.09E-05
Virulence,Invasion,ibeC,Punta Espinoza,3.87E-05,2.95E-05
Virulence,Invasion,ibeC,Rabida,0,0
Virulence,Invasion,kpsC,Cabo Douglas,1.29E-05,3.02E-05
Virulence,Invasion,kpsC,Punta Espinoza,5.52E-06,1.91E-05
Virulence,Invasion,kpsC,Rabida,6.92E-06,1.96E-05
Virulence,Invasion,kpsD,Cabo Douglas,6.91E-06,2.39E-05
Virulence,Invasion,kpsD,Punta Espinoza,0,0
Virulence,Invasion,kpsD,Rabida,6.92E-06,1.96E-05
Virulence,Invasion,kpsE,Cabo Douglas,5.98E-06,2.07E-05
Virulence,Invasion,kpsE,Punta Espinoza,0,0
Virulence,Invasion,kpsE,Rabida,0,0
Virulence,Invasion,kpsF,Cabo Douglas,1.81E-05,3.30E-05
Virulence,Invasion,kpsF,Punta Espinoza,0,0
Virulence,Invasion,kpsF,Rabida,0,0
Virulence,Invasion,kpsS,Cabo Douglas,1.15E-05,2.68E-05
Virulence,Invasion,kpsS,Punta Espinoza,0,0
Virulence,Invasion,kpsS,Rabida,6.92E-06,1.96E-05
Virulence,Invasion,kpsT,Cabo Douglas,5.48E-06,1.90E-05
Virulence,Invasion,kpsT,Punta Espinoza,0,0
Virulence,Invasion,kpsT,Rabida,0,0
Virulence,Invasion,kpsU,Cabo Douglas,1.34E-05,3.18E-05
Virulence,Invasion,kpsU,Punta Espinoza,0,0
Virulence,Invasion,kpsU,Rabida,0,0
Virulence,Invasion,neuA-K1,Cabo Douglas,0,0
Virulence,Invasion,neuA-K1,Punta Espinoza,4.95E-06,1.72E-05
Virulence,Invasion,neuA-K1,Rabida,0,0
Virulence,Invasion,neuD,Cabo Douglas,0,0
Virulence,Invasion,neuD,Punta Espinoza,5.56E-06,1.93E-05
Virulence,Invasion,neuD,Rabida,0,0
Virulence,Invasion,ompA,Cabo Douglas,2.64E-05,3.38E-05
Virulence,Invasion,ompA,Punta Espinoza,3.41E-05,3.09E-05
Virulence,Invasion,ompA,Rabida,1.54E-05,2.88E-05
Virulence,Motility,cheA,Cabo Douglas,2.70E-05,3.45E-05
Virulence,Motility,cheA,Punta Espinoza,4.81E-05,2.44E-05
Virulence,Motility,cheA,Rabida,1.54E-05,2.86E-05
Virulence,Motility,cheA-2,Cabo Douglas,0,0
Virulence,Motility,cheA-2,Punta Espinoza,2.29E-05,2.88E-05
Virulence,Motility,cheA-2,Rabida,0,0
Virulence,Motility,cheB,Cabo Douglas,1.24E-05,2.92E-05
Virulence,Motility,cheB,Punta Espinoza,3.40E-05,3.08E-05
Virulence,Motility,cheB,Rabida,7.86E-06,2.22E-05
Virulence,Motility,cheB-2,Cabo Douglas,0,0
Virulence,Motility,cheB-2,Punta Espinoza,5.57E-06,1.93E-05
Virulence,Motility,cheB-2,Rabida,0,0
Virulence,Motility,cheD,Cabo Douglas,2.38E-05,3.54E-05
Virulence,Motility,cheD,Punta Espinoza,4.32E-05,2.77E-05
Virulence,Motility,cheD,Rabida,2.94E-05,3.15E-05
Virulence,Motility,cheR,Cabo Douglas,5.73E-06,1.99E-05
Virulence,Motility,cheR,Punta Espinoza,1.05E-05,2.46E-05
Virulence,Motility,cheR,Rabida,0,0
Virulence,Motility,cheR-3,Cabo Douglas,0,0
Virulence,Motility,cheR-3,Punta Espinoza,3.70E-06,1.28E-05
Virulence,Motility,cheR-3,Rabida,0,0
Virulence,Motility,cheV,Cabo Douglas,0,0
Virulence,Motility,cheV,Punta Espinoza,2.46E-05,3.08E-05
Virulence,Motility,cheV,Rabida,0,0
Virulence,Motility,cheV1,Cabo Douglas,0,0
Virulence,Motility,cheV1,Punta Espinoza,1.16E-05,2.71E-05
Virulence,Motility,cheV1,Rabida,0,0
Virulence,Motility,cheV3,Cabo Douglas,3.77E-05,3.38E-05
Virulence,Motility,cheV3,Punta Espinoza,4.25E-05,2.72E-05
Virulence,Motility,cheV3,Rabida,1.46E-05,2.71E-05
Virulence,Motility,cheW,Cabo Douglas,1.78E-05,3.25E-05
Virulence,Motility,cheW,Punta Espinoza,1.42E-05,2.62E-05
Virulence,Motility,cheW,Rabida,0,0
Virulence,Motility,cheY,Cabo Douglas,1.78E-05,3.25E-05
Virulence,Motility,cheY,Punta Espinoza,4.35E-05,2.79E-05
Virulence,Motility,cheY,Rabida,0,0
Virulence,Motility,cheZ,Cabo Douglas,5.48E-06,1.90E-05
Virulence,Motility,cheZ,Punta Espinoza,4.95E-06,1.72E-05
Virulence,Motility,cheZ,Rabida,0,0
Virulence,Motility,flaA,Cabo Douglas,1.54E-05,2.81E-05
Virulence,Motility,flaA,Punta Espinoza,3.04E-05,3.24E-05
Virulence,Motility,flaA,Rabida,7.86E-06,2.22E-05
Virulence,Motility,flaB,Cabo Douglas,2.35E-05,3.50E-05
Virulence,Motility,flaB,Punta Espinoza,2.79E-05,3.03E-05
Virulence,Motility,flaB,Rabida,0,0
Virulence,Motility,flaD,Cabo Douglas,0,0
Virulence,Motility,flaD,Punta Espinoza,4.95E-06,1.72E-05
Virulence,Motility,flaD,Rabida,0,0
Virulence,Motility,flaE,Cabo Douglas,0,0
Virulence,Motility,flaE,Punta Espinoza,4.53E-06,1.57E-05
Virulence,Motility,flaE,Rabida,0,0
Virulence,Motility,fleN/flhG,Cabo Douglas,0,0
Virulence,Motility,fleN/flhG,Punta Espinoza,1.02E-05,2.39E-05
Virulence,Motility,fleN/flhG,Rabida,0,0
Virulence,Motility,fleR,Cabo Douglas,5.10E-06,1.77E-05
Virulence,Motility,fleR,Punta Espinoza,3.70E-06,1.28E-05
Virulence,Motility,fleR,Rabida,0,0
Virulence,Motility,fleR/flrC,Cabo Douglas,6.91E-06,2.39E-05
Virulence,Motility,fleR/flrC,Punta Espinoza,3.25E-05,2.92E-05
Virulence,Motility,fleR/flrC,Rabida,0,0
Virulence,Motility,fleS/flrB,Cabo Douglas,0,0
Virulence,Motility,fleS/flrB,Punta Espinoza,4.95E-06,1.72E-05
Virulence,Motility,fleS/flrB,Rabida,0,0
Virulence,Motility,flgB,Cabo Douglas,1.15E-05,2.68E-05
Virulence,Motility,flgB,Punta Espinoza,1.46E-05,2.67E-05
Virulence,Motility,flgB,Rabida,7.86E-06,2.22E-05
Virulence,Motility,flgC,Cabo Douglas,1.55E-05,2.85E-05
Virulence,Motility,flgC,Punta Espinoza,2.96E-05,3.18E-05
Virulence,Motility,flgC,Rabida,0,0
Virulence,Motility,flgD,Cabo Douglas,0,0
Virulence,Motility,flgD,Punta Espinoza,2.14E-05,3.19E-05
Virulence,Motility,flgD,Rabida,0,0
Virulence,Motility,flgE,Cabo Douglas,2.29E-05,3.42E-05
Virulence,Motility,flgE,Punta Espinoza,3.88E-05,2.97E-05
Virulence,Motility,flgE,Rabida,0,0
Virulence,Motility,flgE_1,Cabo Douglas,1.29E-05,3.02E-05
Virulence,Motility,flgE_1,Punta Espinoza,3.27E-05,3.02E-05
Virulence,Motility,flgE_1,Rabida,0,0
Virulence,Motility,flgE2,Cabo Douglas,0,0
Virulence,Motility,flgE2,Punta Espinoza,3.55E-06,1.23E-05
Virulence,Motility,flgE2,Rabida,7.65E-06,2.16E-05
Virulence,Motility,flgF,Cabo Douglas,0,0
Virulence,Motility,flgF,Punta Espinoza,1.32E-05,2.42E-05
Virulence,Motility,flgF,Rabida,0,0
Virulence,Motility,flgG,Cabo Douglas,1.55E-05,2.85E-05
Virulence,Motility,flgG,Punta Espinoza,3.05E-05,3.28E-05
Virulence,Motility,flgG,Rabida,7.86E-06,2.22E-05
Virulence,Motility,flgG_2,Cabo Douglas,0,0
Virulence,Motility,flgG_2,Punta Espinoza,1.75E-05,2.64E-05
Virulence,Motility,flgG_2,Rabida,0,0
Virulence,Motility,flgG2,Cabo Douglas,5.98E-06,2.07E-05
Virulence,Motility,flgG2,Punta Espinoza,4.59E-06,1.59E-05
Virulence,Motility,flgG2,Rabida,0,0
Virulence,Motility,flgH,Cabo Douglas,1.23E-05,2.91E-05
Virulence,Motility,flgH,Punta Espinoza,9.82E-06,2.40E-05
Virulence,Motility,flgH,Rabida,7.86E-06,2.22E-05
Virulence,Motility,flgI,Cabo Douglas,5.48E-06,1.90E-05
Virulence,Motility,flgI,Punta Espinoza,4.65E-05,2.90E-05
Virulence,Motility,flgI,Rabida,7.86E-06,2.22E-05
Virulence,Motility,flgK,Cabo Douglas,0,0
Virulence,Motility,flgK,Punta Espinoza,1.36E-05,2.49E-05
Virulence,Motility,flgK,Rabida,0,0
Virulence,Motility,flgL,Cabo Douglas,0,0
Virulence,Motility,flgL,Punta Espinoza,6.28E-06,2.17E-05
Virulence,Motility,flgL,Rabida,0,0
Virulence,Motility,flgM,Cabo Douglas,0,0
Virulence,Motility,flgM,Punta Espinoza,5.06E-06,1.75E-05
Virulence,Motility,flgM,Rabida,0,0
Virulence,Motility,flgO,Cabo Douglas,0,0
Virulence,Motility,flgO,Punta Espinoza,8.65E-06,2.05E-05
Virulence,Motility,flgO,Rabida,0,0
